code,error_code_desc
H10,App crashed
H11,Backlog too deep
H12,Request timeout
H13,Connection closed without response
H14,No web dynos running
H15,Idle connection
H16,Redirect to herokuapp.com
H17,Poorly formatted HTTP response
H18,Request Interrupted
H19,Backend connection timeout
H20,App boot timeout
H21,Backend connection refused
H22,Connection limit reached
H23,Endpoint misconfigured
H24,Forced close
H25,HTTP Restriction
H26,Request Error
H80,Maintenance mode
H81,Blank app
H99,Platform error
R10,Boot timeout
R12,Exit timeout
R13,Attach error
R14,Memory quota exceeded
R15,Memory quota vastly exceeded
R16,Detached
R99,R99 - Platform error
L10,L10 - Drain buffer overflow
L11,L11 - Tail buffer overflow
L12,L12 - Local buffer overflow
L13,L13 - Local delivery error